"car_name_year"	"origin"	"specification"	"value"
"maxda rx3_73"	"Asia"	"cylinders"	3
"ford pinto_73"	"domestic"	"cylinders"	4
"mercury capri v6_73"	"domestic"	"cylinders"	6
"fiat 124 sport coupe_73"	"Europe"	"cylinders"	4
"chevrolet monte carlo s_73"	"domestic"	"cylinders"	8
"pontiac grand prix_73"	"domestic"	"cylinders"	8
"fiat 128_73"	"Europe"	"cylinders"	4
"opel manta_73"	"Europe"	"cylinders"	4
"audi 100ls_73"	"Europe"	"cylinders"	4
"volvo 144ea_73"	"Europe"	"cylinders"	4
"dodge dart custom_73"	"domestic"	"cylinders"	8
"saab 99le_73"	"Europe"	"cylinders"	4
"toyota mark ii_73"	"Asia"	"cylinders"	6
"oldsmobile omega_73"	"domestic"	"cylinders"	8
"plymouth duster_74"	"domestic"	"cylinders"	6
"ford maverick_74"	"domestic"	"cylinders"	6
"amc hornet_74"	"domestic"	"cylinders"	6
"chevrolet nova_74"	"domestic"	"cylinders"	6
"datsun b210_74"	"Asia"	"cylinders"	4
"ford pinto_74"	"domestic"	"cylinders"	4
"toyota corolla 1200_74"	"Asia"	"cylinders"	4
"chevrolet vega_74"	"domestic"	"cylinders"	4
"chevrolet chevelle malibu classic_74"	"domestic"	"cylinders"	6
"amc matador_74"	"domestic"	"cylinders"	6
"plymouth satellite sebring_74"	"domestic"	"cylinders"	6
"ford gran torino_74"	"domestic"	"cylinders"	8
"buick century luxus (sw)_74"	"domestic"	"cylinders"	8
"dodge coronet custom (sw)_74"	"domestic"	"cylinders"	8
"ford gran torino (sw)_74"	"domestic"	"cylinders"	8
"amc matador (sw)_74"	"domestic"	"cylinders"	8
"audi fox_74"	"Europe"	"cylinders"	4
"volkswagen dasher_74"	"Europe"	"cylinders"	4
"opel manta_74"	"Europe"	"cylinders"	4
"toyota corona_74"	"Asia"	"cylinders"	4
"datsun 710_74"	"Asia"	"cylinders"	4
"dodge colt_74"	"domestic"	"cylinders"	4
"fiat 128_74"	"Europe"	"cylinders"	4
"fiat 124 tc_74"	"Europe"	"cylinders"	4
"honda civic_74"	"Asia"	"cylinders"	4
"subaru_74"	"Asia"	"cylinders"	4
"fiat x1.9_74"	"Europe"	"cylinders"	4
"plymouth valiant custom_75"	"domestic"	"cylinders"	6
"chevrolet nova_75"	"domestic"	"cylinders"	6
"mercury monarch_75"	"domestic"	"cylinders"	6
"ford maverick_75"	"domestic"	"cylinders"	6
"pontiac catalina_75"	"domestic"	"cylinders"	8
"chevrolet bel air_75"	"domestic"	"cylinders"	8
"plymouth grand fury_75"	"domestic"	"cylinders"	8
"ford ltd_75"	"domestic"	"cylinders"	8
"buick century_75"	"domestic"	"cylinders"	6
"chevroelt chevelle malibu_75"	"domestic"	"cylinders"	6
"amc matador_75"	"domestic"	"cylinders"	6
"plymouth fury_75"	"domestic"	"cylinders"	6
"buick skyhawk_75"	"domestic"	"cylinders"	6
"chevrolet monza 2+2_75"	"domestic"	"cylinders"	8
"ford mustang ii_75"	"domestic"	"cylinders"	8
"toyota corolla_75"	"Asia"	"cylinders"	4
"ford pinto_75"	"domestic"	"cylinders"	4
"amc gremlin_75"	"domestic"	"cylinders"	6
"pontiac astro_75"	"domestic"	"cylinders"	4
"toyota corona_75"	"Asia"	"cylinders"	4
"volkswagen dasher_75"	"Europe"	"cylinders"	4
"datsun 710_75"	"Asia"	"cylinders"	4
"volkswagen rabbit_75"	"Europe"	"cylinders"	4
"amc pacer_75"	"domestic"	"cylinders"	6
"audi 100ls_75"	"Europe"	"cylinders"	4
"peugeot 504_75"	"Europe"	"cylinders"	4
"volvo 244dl_75"	"Europe"	"cylinders"	4
"saab 99le_75"	"Europe"	"cylinders"	4
"honda civic cvcc_75"	"Asia"	"cylinders"	4
"fiat 131_76"	"Europe"	"cylinders"	4
"opel 1900_76"	"Europe"	"cylinders"	4
"capri ii_76"	"domestic"	"cylinders"	4
"dodge colt_76"	"domestic"	"cylinders"	4
"renault 12tl_76"	"Europe"	"cylinders"	4
"chevrolet chevelle malibu classic_76"	"domestic"	"cylinders"	8
"dodge coronet brougham_76"	"domestic"	"cylinders"	8
"amc matador_76"	"domestic"	"cylinders"	8
"ford gran torino_76"	"domestic"	"cylinders"	8
"plymouth valiant_76"	"domestic"	"cylinders"	6
"chevrolet nova_76"	"domestic"	"cylinders"	6
"ford maverick_76"	"domestic"	"cylinders"	6
"amc hornet_76"	"domestic"	"cylinders"	6
"chevrolet chevette_76"	"domestic"	"cylinders"	4
"chevrolet woody_76"	"domestic"	"cylinders"	4
"vw rabbit_76"	"Europe"	"cylinders"	4
"honda civic_76"	"Asia"	"cylinders"	4
"dodge aspen se_76"	"domestic"	"cylinders"	6
"ford granada ghia_76"	"domestic"	"cylinders"	6
"pontiac ventura sj_76"	"domestic"	"cylinders"	6
"amc pacer d/l_76"	"domestic"	"cylinders"	6
"volkswagen rabbit_76"	"Europe"	"cylinders"	4
"datsun b-210_76"	"Asia"	"cylinders"	4
"toyota corolla_76"	"Asia"	"cylinders"	4
"ford pinto_76"	"domestic"	"cylinders"	4
"volvo 245_76"	"Europe"	"cylinders"	4
"plymouth volare premier v8_76"	"domestic"	"cylinders"	8
"peugeot 504_76"	"Europe"	"cylinders"	4
"toyota mark ii_76"	"Asia"	"cylinders"	6
"mercedes-benz 280s_76"	"Europe"	"cylinders"	6
"cadillac seville_76"	"domestic"	"cylinders"	8
"chevy c10_76"	"domestic"	"cylinders"	8
"ford f108_76"	"domestic"	"cylinders"	8
"dodge d100_76"	"domestic"	"cylinders"	8
"honda accord cvcc_77"	"Asia"	"cylinders"	4
"buick opel isuzu deluxe_77"	"domestic"	"cylinders"	4
"renault 5 gtl_77"	"Europe"	"cylinders"	4
"plymouth arrow gs_77"	"domestic"	"cylinders"	4
"datsun f-10 hatchback_77"	"Asia"	"cylinders"	4
"chevrolet caprice classic_77"	"domestic"	"cylinders"	8
"oldsmobile cutlass supreme_77"	"domestic"	"cylinders"	8
"dodge monaco brougham_77"	"domestic"	"cylinders"	8
"mercury cougar brougham_77"	"domestic"	"cylinders"	8
"chevrolet concours_77"	"domestic"	"cylinders"	6
"buick skylark_77"	"domestic"	"cylinders"	6
"plymouth volare custom_77"	"domestic"	"cylinders"	6
"ford granada_77"	"domestic"	"cylinders"	6
"pontiac grand prix lj_77"	"domestic"	"cylinders"	8
"chevrolet monte carlo landau_77"	"domestic"	"cylinders"	8
"chrysler cordoba_77"	"domestic"	"cylinders"	8
"ford thunderbird_77"	"domestic"	"cylinders"	8
"volkswagen rabbit custom_77"	"Europe"	"cylinders"	4
"pontiac sunbird coupe_77"	"domestic"	"cylinders"	4
"toyota corolla liftback_77"	"Asia"	"cylinders"	4
"ford mustang ii 2+2_77"	"domestic"	"cylinders"	4
"chevrolet chevette_77"	"domestic"	"cylinders"	4
"dodge colt m/m_77"	"domestic"	"cylinders"	4
"subaru dl_77"	"Asia"	"cylinders"	4
"volkswagen dasher_77"	"Europe"	"cylinders"	4
"datsun 810_77"	"Asia"	"cylinders"	6
"bmw 320i_77"	"Europe"	"cylinders"	4
"mazda rx-4_77"	"Asia"	"cylinders"	3
"volkswagen rabbit custom diesel_78"	"Europe"	"cylinders"	4
"ford fiesta_78"	"domestic"	"cylinders"	4
"mazda glc deluxe_78"	"Asia"	"cylinders"	4
"datsun b210 gx_78"	"Asia"	"cylinders"	4
"honda civic cvcc_78"	"Asia"	"cylinders"	4
"oldsmobile cutlass salon brougham_78"	"domestic"	"cylinders"	8
"dodge diplomat_78"	"domestic"	"cylinders"	8
"mercury monarch ghia_78"	"domestic"	"cylinders"	8
"pontiac phoenix lj_78"	"domestic"	"cylinders"	6
"chevrolet malibu_78"	"domestic"	"cylinders"	6
"ford fairmont (auto)_78"	"domestic"	"cylinders"	6
"ford fairmont (man)_78"	"domestic"	"cylinders"	4
"plymouth volare_78"	"domestic"	"cylinders"	6
"amc concord_78"	"domestic"	"cylinders"	6
"buick century special_78"	"domestic"	"cylinders"	6
"mercury zephyr_78"	"domestic"	"cylinders"	6
"dodge aspen_78"	"domestic"	"cylinders"	6
"amc concord d/l_78"	"domestic"	"cylinders"	6
"chevrolet monte carlo landau_78"	"domestic"	"cylinders"	8
"buick regal sport coupe (turbo)_78"	"domestic"	"cylinders"	6
"ford futura_78"	"domestic"	"cylinders"	8
"dodge magnum xe_78"	"domestic"	"cylinders"	8
"chevrolet chevette_78"	"domestic"	"cylinders"	4
"toyota corona_78"	"Asia"	"cylinders"	4
"datsun 510_78"	"Asia"	"cylinders"	4
"dodge omni_78"	"domestic"	"cylinders"	4
"toyota celica gt liftback_78"	"Asia"	"cylinders"	4
"plymouth sapporo_78"	"domestic"	"cylinders"	4
"oldsmobile starfire sx_78"	"domestic"	"cylinders"	4
"datsun 200-sx_78"	"Asia"	"cylinders"	4
"audi 5000_78"	"Europe"	"cylinders"	5
"volvo 264gl_78"	"Europe"	"cylinders"	6
"saab 99gle_78"	"Europe"	"cylinders"	4
"peugeot 604sl_78"	"Europe"	"cylinders"	6
"volkswagen scirocco_78"	"Europe"	"cylinders"	4
"honda accord lx_78"	"Asia"	"cylinders"	4
"pontiac lemans v6_79"	"domestic"	"cylinders"	6
"mercury zephyr 6_79"	"domestic"	"cylinders"	6
"ford fairmont 4_79"	"domestic"	"cylinders"	4
"amc concord dl 6_79"	"domestic"	"cylinders"	6
"dodge aspen 6_79"	"domestic"	"cylinders"	6
"chevrolet caprice classic_79"	"domestic"	"cylinders"	8
"ford ltd landau_79"	"domestic"	"cylinders"	8
"mercury grand marquis_79"	"domestic"	"cylinders"	8
"dodge st. regis_79"	"domestic"	"cylinders"	8
"buick estate wagon (sw)_79"	"domestic"	"cylinders"	8
"ford country squire (sw)_79"	"domestic"	"cylinders"	8
"chevrolet malibu classic (sw)_79"	"domestic"	"cylinders"	8
"chrysler lebaron town @ country (sw)_79"	"domestic"	"cylinders"	8
"vw rabbit custom_79"	"Europe"	"cylinders"	4
"maxda glc deluxe_79"	"Asia"	"cylinders"	4
"dodge colt hatchback custom_79"	"domestic"	"cylinders"	4
"amc spirit dl_79"	"domestic"	"cylinders"	4
"mercedes benz 300d_79"	"Europe"	"cylinders"	5
"cadillac eldorado_79"	"domestic"	"cylinders"	8
"peugeot 504_79"	"Europe"	"cylinders"	4
"oldsmobile cutlass salon brougham_79"	"domestic"	"cylinders"	8
"plymouth horizon_79"	"domestic"	"cylinders"	4
"plymouth horizon tc3_79"	"domestic"	"cylinders"	4
"datsun 210_79"	"Asia"	"cylinders"	4
"fiat strada custom_79"	"Europe"	"cylinders"	4
"buick skylark limited_79"	"domestic"	"cylinders"	4
"chevrolet citation_79"	"domestic"	"cylinders"	6
"oldsmobile omega brougham_79"	"domestic"	"cylinders"	6
"pontiac phoenix_79"	"domestic"	"cylinders"	4
"vw rabbit_80"	"Europe"	"cylinders"	4
"toyota corolla tercel_80"	"Asia"	"cylinders"	4
"chevrolet chevette_80"	"domestic"	"cylinders"	4
"datsun 310_80"	"Asia"	"cylinders"	4
"chevrolet citation_80"	"domestic"	"cylinders"	4
"ford fairmont_80"	"domestic"	"cylinders"	4
"amc concord_80"	"domestic"	"cylinders"	4
"dodge aspen_80"	"domestic"	"cylinders"	6
"audi 4000_80"	"Europe"	"cylinders"	4
"toyota corona liftback_80"	"Asia"	"cylinders"	4
"mazda 626_80"	"Asia"	"cylinders"	4
"datsun 510 hatchback_80"	"Asia"	"cylinders"	4
"toyota corolla_80"	"Asia"	"cylinders"	4
"mazda glc_80"	"Asia"	"cylinders"	4
"dodge colt_80"	"domestic"	"cylinders"	4
"datsun 210_80"	"Asia"	"cylinders"	4
"vw rabbit c (diesel)_80"	"Europe"	"cylinders"	4
"vw dasher (diesel)_80"	"Europe"	"cylinders"	4
"audi 5000s (diesel)_80"	"Europe"	"cylinders"	5
"mercedes-benz 240d_80"	"Europe"	"cylinders"	4
"honda civic 1500 gl_80"	"Asia"	"cylinders"	4
"renault lecar deluxe_80"	"Europe"	"cylinders"	4
"subaru dl_80"	"Asia"	"cylinders"	4
"vokswagen rabbit_80"	"Europe"	"cylinders"	4
"datsun 280-zx_80"	"Asia"	"cylinders"	6
"mazda rx-7 gs_80"	"Asia"	"cylinders"	3
"triumph tr7 coupe_80"	"Europe"	"cylinders"	4
"ford mustang cobra_80"	"domestic"	"cylinders"	4
"honda accord_80"	"Asia"	"cylinders"	4
"plymouth reliant_81"	"domestic"	"cylinders"	4
"buick skylark_81"	"domestic"	"cylinders"	4
"dodge aries wagon (sw)_81"	"domestic"	"cylinders"	4
"chevrolet citation_81"	"domestic"	"cylinders"	6
"toyota starlet_81"	"Asia"	"cylinders"	4
"plymouth champ_81"	"domestic"	"cylinders"	4
"honda civic 1300_81"	"Asia"	"cylinders"	4
"subaru_81"	"Asia"	"cylinders"	4
"datsun 210 mpg_81"	"Asia"	"cylinders"	4
"toyota tercel_81"	"Asia"	"cylinders"	4
"mazda glc 4_81"	"Asia"	"cylinders"	4
"plymouth horizon 4_81"	"domestic"	"cylinders"	4
"ford escort 4w_81"	"domestic"	"cylinders"	4
"ford escort 2h_81"	"domestic"	"cylinders"	4
"volkswagen jetta_81"	"Europe"	"cylinders"	4
"renault 18i_81"	"Europe"	"cylinders"	4
"honda prelude_81"	"Asia"	"cylinders"	4
"toyota corolla_81"	"Asia"	"cylinders"	4
"datsun 200sx_81"	"Asia"	"cylinders"	4
"mazda 626_81"	"Asia"	"cylinders"	4
"peugeot 505s turbo diesel_81"	"Europe"	"cylinders"	4
"volvo diesel_81"	"Europe"	"cylinders"	6
"toyota cressida_81"	"Asia"	"cylinders"	6
"datsun 810 maxima_81"	"Asia"	"cylinders"	6
"buick century_81"	"domestic"	"cylinders"	6
"oldsmobile cutlass ls_81"	"domestic"	"cylinders"	8
"ford granada gl_81"	"domestic"	"cylinders"	6
"chrysler lebaron salon_81"	"domestic"	"cylinders"	6
"chevrolet cavalier_82"	"domestic"	"cylinders"	4
"chevrolet cavalier wagon_82"	"domestic"	"cylinders"	4
"chevrolet cavalier 2-door_82"	"domestic"	"cylinders"	4
"pontiac j2000 se hatchback_82"	"domestic"	"cylinders"	4
"dodge aries se_82"	"domestic"	"cylinders"	4
"pontiac phoenix_82"	"domestic"	"cylinders"	4
"ford fairmont futura_82"	"domestic"	"cylinders"	4
"amc concord dl_82"	"domestic"	"cylinders"	4
"volkswagen rabbit l_82"	"Europe"	"cylinders"	4
"mazda glc custom l_82"	"Asia"	"cylinders"	4
"mazda glc custom_82"	"Asia"	"cylinders"	4
"plymouth horizon miser_82"	"domestic"	"cylinders"	4
"mercury lynx l_82"	"domestic"	"cylinders"	4
"nissan stanza xe_82"	"Asia"	"cylinders"	4
"honda accord_82"	"Asia"	"cylinders"	4
"toyota corolla_82"	"Asia"	"cylinders"	4
"honda civic_82"	"Asia"	"cylinders"	4
"honda civic (auto)_82"	"Asia"	"cylinders"	4
"datsun 310 gx_82"	"Asia"	"cylinders"	4
"buick century limited_82"	"domestic"	"cylinders"	6
"oldsmobile cutlass ciera (diesel)_82"	"domestic"	"cylinders"	6
"chrysler lebaron medallion_82"	"domestic"	"cylinders"	4
"ford granada l_82"	"domestic"	"cylinders"	6
"toyota celica gt_82"	"Asia"	"cylinders"	4
"dodge charger 2.2_82"	"domestic"	"cylinders"	4
"chevrolet camaro_82"	"domestic"	"cylinders"	4
"ford mustang gl_82"	"domestic"	"cylinders"	4
"vw pickup_82"	"Europe"	"cylinders"	4
"dodge rampage_82"	"domestic"	"cylinders"	4
"ford ranger_82"	"domestic"	"cylinders"	4
"chevy s-10_82"	"domestic"	"cylinders"	4
"chevrolet chevelle malibu_70"	"domestic"	"displacement"	307
"buick skylark 320_70"	"domestic"	"displacement"	350
"plymouth satellite_70"	"domestic"	"displacement"	318
"amc rebel sst_70"	"domestic"	"displacement"	304
"ford torino_70"	"domestic"	"displacement"	302
"ford galaxie 500_70"	"domestic"	"displacement"	429
"chevrolet impala_70"	"domestic"	"displacement"	454
"plymouth fury iii_70"	"domestic"	"displacement"	440
"pontiac catalina_70"	"domestic"	"displacement"	455
"amc ambassador dpl_70"	"domestic"	"displacement"	390
"dodge challenger se_70"	"domestic"	"displacement"	383
"plymouth 'cuda 340_70"	"domestic"	"displacement"	340
"chevrolet monte carlo_70"	"domestic"	"displacement"	400
"buick estate wagon (sw)_70"	"domestic"	"displacement"	455
"toyota corona mark ii_70"	"Asia"	"displacement"	113
"plymouth duster_70"	"domestic"	"displacement"	198
"amc hornet_70"	"domestic"	"displacement"	199
"ford maverick_70"	"domestic"	"displacement"	200
"datsun pl510_70"	"Asia"	"displacement"	97
"volkswagen 1131 deluxe sedan_70"	"Europe"	"displacement"	97
"peugeot 504_70"	"Europe"	"displacement"	110
"audi 100 ls_70"	"Europe"	"displacement"	107
"saab 99e_70"	"Europe"	"displacement"	104
"bmw 2002_70"	"Europe"	"displacement"	121
"amc gremlin_70"	"domestic"	"displacement"	199
"ford f250_70"	"domestic"	"displacement"	360
"chevy c20_70"	"domestic"	"displacement"	307
"dodge d200_70"	"domestic"	"displacement"	318
"hi 1200d_70"	"domestic"	"displacement"	304
"datsun pl510_71"	"Asia"	"displacement"	97
"chevrolet vega 2300_71"	"domestic"	"displacement"	140
"toyota corona_71"	"Asia"	"displacement"	113
"ford pinto_71"	"domestic"	"displacement"	98
"amc gremlin_71"	"domestic"	"displacement"	232
"plymouth satellite custom_71"	"domestic"	"displacement"	225
"chevrolet chevelle malibu_71"	"domestic"	"displacement"	250
"ford torino 500_71"	"domestic"	"displacement"	250
"amc matador_71"	"domestic"	"displacement"	232
"chevrolet impala_71"	"domestic"	"displacement"	350
"pontiac catalina brougham_71"	"domestic"	"displacement"	400
"ford galaxie 500_71"	"domestic"	"displacement"	351
"plymouth fury iii_71"	"domestic"	"displacement"	318
"dodge monaco (sw)_71"	"domestic"	"displacement"	383
"ford country squire (sw)_71"	"domestic"	"displacement"	400
"pontiac safari (sw)_71"	"domestic"	"displacement"	400
"amc hornet sportabout (sw)_71"	"domestic"	"displacement"	258
"chevrolet vega (sw)_71"	"domestic"	"displacement"	140
"pontiac firebird_71"	"domestic"	"displacement"	250
"ford mustang_71"	"domestic"	"displacement"	250
"mercury capri 2000_71"	"domestic"	"displacement"	122
"opel 1900_71"	"Europe"	"displacement"	116
"peugeot 304_71"	"Europe"	"displacement"	79
"fiat 124b_71"	"Europe"	"displacement"	88
"toyota corolla 1200_71"	"Asia"	"displacement"	71
"datsun 1200_71"	"Asia"	"displacement"	72
"volkswagen model 111_71"	"Europe"	"displacement"	97
"plymouth cricket_71"	"domestic"	"displacement"	91
"toyota corona hardtop_72"	"Asia"	"displacement"	113
"dodge colt hardtop_72"	"domestic"	"displacement"	97.5
"volkswagen type 3_72"	"Europe"	"displacement"	97
"chevrolet vega_72"	"domestic"	"displacement"	140
"ford pinto runabout_72"	"domestic"	"displacement"	122
"chevrolet impala_72"	"domestic"	"displacement"	350
"pontiac catalina_72"	"domestic"	"displacement"	400
"plymouth fury iii_72"	"domestic"	"displacement"	318
"ford galaxie 500_72"	"domestic"	"displacement"	351
"amc ambassador sst_72"	"domestic"	"displacement"	304
"mercury marquis_72"	"domestic"	"displacement"	429
"buick lesabre custom_72"	"domestic"	"displacement"	350
"oldsmobile delta 88 royale_72"	"domestic"	"displacement"	350
"chrysler newport royal_72"	"domestic"	"displacement"	400
"mazda rx2 coupe_72"	"Asia"	"displacement"	70
"amc matador (sw)_72"	"domestic"	"displacement"	304
"chevrolet chevelle concours (sw)_72"	"domestic"	"displacement"	307
"ford gran torino (sw)_72"	"domestic"	"displacement"	302
"plymouth satellite custom (sw)_72"	"domestic"	"displacement"	318
"volvo 145e (sw)_72"	"Europe"	"displacement"	121
"volkswagen 411 (sw)_72"	"Europe"	"displacement"	121
"peugeot 504 (sw)_72"	"Europe"	"displacement"	120
"renault 12 (sw)_72"	"Europe"	"displacement"	96
"ford pinto (sw)_72"	"domestic"	"displacement"	122
"datsun 510 (sw)_72"	"Asia"	"displacement"	97
"toyouta corona mark ii (sw)_72"	"Asia"	"displacement"	120
"dodge colt (sw)_72"	"domestic"	"displacement"	98
"toyota corolla 1600 (sw)_72"	"Asia"	"displacement"	97
"buick century 350_73"	"domestic"	"displacement"	350
"amc matador_73"	"domestic"	"displacement"	304
"chevrolet malibu_73"	"domestic"	"displacement"	350
"ford gran torino_73"	"domestic"	"displacement"	302
"dodge coronet custom_73"	"domestic"	"displacement"	318
"mercury marquis brougham_73"	"domestic"	"displacement"	429
"chevrolet caprice classic_73"	"domestic"	"displacement"	400
"ford ltd_73"	"domestic"	"displacement"	351
"plymouth fury gran sedan_73"	"domestic"	"displacement"	318
"chrysler new yorker brougham_73"	"domestic"	"displacement"	440
"buick electra 225 custom_73"	"domestic"	"displacement"	455
"amc ambassador brougham_73"	"domestic"	"displacement"	360
"plymouth valiant_73"	"domestic"	"displacement"	225
"chevrolet nova custom_73"	"domestic"	"displacement"	250
"amc hornet_73"	"domestic"	"displacement"	232
"ford maverick_73"	"domestic"	"displacement"	250
"plymouth duster_73"	"domestic"	"displacement"	198
"volkswagen super beetle_73"	"Europe"	"displacement"	97
"chevrolet impala_73"	"domestic"	"displacement"	400
"ford country_73"	"domestic"	"displacement"	400
"plymouth custom suburb_73"	"domestic"	"displacement"	360
"oldsmobile vista cruiser_73"	"domestic"	"displacement"	350
"amc gremlin_73"	"domestic"	"displacement"	232
"toyota carina_73"	"Asia"	"displacement"	97
"chevrolet vega_73"	"domestic"	"displacement"	140
"datsun 610_73"	"Asia"	"displacement"	108
"maxda rx3_73"	"Asia"	"displacement"	70
"ford pinto_73"	"domestic"	"displacement"	122
"mercury capri v6_73"	"domestic"	"displacement"	155
"fiat 124 sport coupe_73"	"Europe"	"displacement"	98
"chevrolet monte carlo s_73"	"domestic"	"displacement"	350
"pontiac grand prix_73"	"domestic"	"displacement"	400
"fiat 128_73"	"Europe"	"displacement"	68
"opel manta_73"	"Europe"	"displacement"	116
"audi 100ls_73"	"Europe"	"displacement"	114
"volvo 144ea_73"	"Europe"	"displacement"	121
"dodge dart custom_73"	"domestic"	"displacement"	318
"saab 99le_73"	"Europe"	"displacement"	121
"toyota mark ii_73"	"Asia"	"displacement"	156
"oldsmobile omega_73"	"domestic"	"displacement"	350
"plymouth duster_74"	"domestic"	"displacement"	198
"ford maverick_74"	"domestic"	"displacement"	200
"amc hornet_74"	"domestic"	"displacement"	232
"chevrolet nova_74"	"domestic"	"displacement"	250
"datsun b210_74"	"Asia"	"displacement"	79
"ford pinto_74"	"domestic"	"displacement"	122
"toyota corolla 1200_74"	"Asia"	"displacement"	71
"chevrolet vega_74"	"domestic"	"displacement"	140
"chevrolet chevelle malibu classic_74"	"domestic"	"displacement"	250
"amc matador_74"	"domestic"	"displacement"	258
"plymouth satellite sebring_74"	"domestic"	"displacement"	225
"ford gran torino_74"	"domestic"	"displacement"	302
"buick century luxus (sw)_74"	"domestic"	"displacement"	350
"dodge coronet custom (sw)_74"	"domestic"	"displacement"	318
"ford gran torino (sw)_74"	"domestic"	"displacement"	302
"amc matador (sw)_74"	"domestic"	"displacement"	304
"audi fox_74"	"Europe"	"displacement"	98
"volkswagen dasher_74"	"Europe"	"displacement"	79
"opel manta_74"	"Europe"	"displacement"	97
"toyota corona_74"	"Asia"	"displacement"	76
"datsun 710_74"	"Asia"	"displacement"	83
"dodge colt_74"	"domestic"	"displacement"	90
"fiat 128_74"	"Europe"	"displacement"	90
"fiat 124 tc_74"	"Europe"	"displacement"	116
"honda civic_74"	"Asia"	"displacement"	120
"subaru_74"	"Asia"	"displacement"	108
"fiat x1.9_74"	"Europe"	"displacement"	79
"plymouth valiant custom_75"	"domestic"	"displacement"	225
"chevrolet nova_75"	"domestic"	"displacement"	250
"mercury monarch_75"	"domestic"	"displacement"	250
"ford maverick_75"	"domestic"	"displacement"	250
"pontiac catalina_75"	"domestic"	"displacement"	400
"chevrolet bel air_75"	"domestic"	"displacement"	350
"plymouth grand fury_75"	"domestic"	"displacement"	318
"ford ltd_75"	"domestic"	"displacement"	351
"buick century_75"	"domestic"	"displacement"	231
"chevroelt chevelle malibu_75"	"domestic"	"displacement"	250
"amc matador_75"	"domestic"	"displacement"	258
"plymouth fury_75"	"domestic"	"displacement"	225
"buick skyhawk_75"	"domestic"	"displacement"	231
"chevrolet monza 2+2_75"	"domestic"	"displacement"	262
"ford mustang ii_75"	"domestic"	"displacement"	302
"toyota corolla_75"	"Asia"	"displacement"	97
"ford pinto_75"	"domestic"	"displacement"	140
"amc gremlin_75"	"domestic"	"displacement"	232
"pontiac astro_75"	"domestic"	"displacement"	140
"toyota corona_75"	"Asia"	"displacement"	134
"volkswagen dasher_75"	"Europe"	"displacement"	90
"datsun 710_75"	"Asia"	"displacement"	119
"volkswagen rabbit_75"	"Europe"	"displacement"	90
"amc pacer_75"	"domestic"	"displacement"	232
"audi 100ls_75"	"Europe"	"displacement"	115
"peugeot 504_75"	"Europe"	"displacement"	120
"volvo 244dl_75"	"Europe"	"displacement"	121
"saab 99le_75"	"Europe"	"displacement"	121
"honda civic cvcc_75"	"Asia"	"displacement"	91
"fiat 131_76"	"Europe"	"displacement"	107
"opel 1900_76"	"Europe"	"displacement"	116
"capri ii_76"	"domestic"	"displacement"	140
"dodge colt_76"	"domestic"	"displacement"	98
"renault 12tl_76"	"Europe"	"displacement"	101
"chevrolet chevelle malibu classic_76"	"domestic"	"displacement"	305
"dodge coronet brougham_76"	"domestic"	"displacement"	318
"amc matador_76"	"domestic"	"displacement"	304
"ford gran torino_76"	"domestic"	"displacement"	351
"plymouth valiant_76"	"domestic"	"displacement"	225
"chevrolet nova_76"	"domestic"	"displacement"	250
"ford maverick_76"	"domestic"	"displacement"	200
"amc hornet_76"	"domestic"	"displacement"	232
"chevrolet chevette_76"	"domestic"	"displacement"	85
"chevrolet woody_76"	"domestic"	"displacement"	98
"vw rabbit_76"	"Europe"	"displacement"	90
"honda civic_76"	"Asia"	"displacement"	91
"dodge aspen se_76"	"domestic"	"displacement"	225
"ford granada ghia_76"	"domestic"	"displacement"	250
"pontiac ventura sj_76"	"domestic"	"displacement"	250
"amc pacer d/l_76"	"domestic"	"displacement"	258
"volkswagen rabbit_76"	"Europe"	"displacement"	97
"datsun b-210_76"	"Asia"	"displacement"	85
"toyota corolla_76"	"Asia"	"displacement"	97
"ford pinto_76"	"domestic"	"displacement"	140
"volvo 245_76"	"Europe"	"displacement"	130
"plymouth volare premier v8_76"	"domestic"	"displacement"	318
"peugeot 504_76"	"Europe"	"displacement"	120
"toyota mark ii_76"	"Asia"	"displacement"	156
"mercedes-benz 280s_76"	"Europe"	"displacement"	168
"cadillac seville_76"	"domestic"	"displacement"	350
"chevy c10_76"	"domestic"	"displacement"	350
"ford f108_76"	"domestic"	"displacement"	302
"dodge d100_76"	"domestic"	"displacement"	318
"honda accord cvcc_77"	"Asia"	"displacement"	98
"buick opel isuzu deluxe_77"	"domestic"	"displacement"	111
"renault 5 gtl_77"	"Europe"	"displacement"	79
"plymouth arrow gs_77"	"domestic"	"displacement"	122
"datsun f-10 hatchback_77"	"Asia"	"displacement"	85
"chevrolet caprice classic_77"	"domestic"	"displacement"	305
"oldsmobile cutlass supreme_77"	"domestic"	"displacement"	260
"dodge monaco brougham_77"	"domestic"	"displacement"	318
"mercury cougar brougham_77"	"domestic"	"displacement"	302
"chevrolet concours_77"	"domestic"	"displacement"	250
"buick skylark_77"	"domestic"	"displacement"	231
"plymouth volare custom_77"	"domestic"	"displacement"	225
"ford granada_77"	"domestic"	"displacement"	250
"pontiac grand prix lj_77"	"domestic"	"displacement"	400
"chevrolet monte carlo landau_77"	"domestic"	"displacement"	350
"chrysler cordoba_77"	"domestic"	"displacement"	400
"ford thunderbird_77"	"domestic"	"displacement"	351
